File Name,Sentiment,Support Count,Oppose Count,Mixed Count,Reasons for Support,Reasons for Oppose,Prediction
03-23-2017audio_6CPC-2013-1595.txt,Supportive,60,12,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-13-13audio_06DIR10-2686.txt,Supportive,48,6,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_8-9VTT-73939andCPC-2015-4184.txt,Supportive,204,44,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
09-07-2017audio_6APCNV-2016-565.txt,Supportive,8,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV08-15-13audio_03APCNV13-1187.txt,Supportive,4,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-13-2013audio_05CPC13-72.txt,Supportive,16,0,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-08-2017audio_6ZA-2017-210-CU-1A.txt,Supportive,94,22,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-14-2017audio_7APCC-2015-3286.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
10-25-2012audio_07CPC12-1225.txt,Opposed,0,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
06-22-2017audio_8DIR-2017-298.txt,Supportive,24,16,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-16-2017audio_5APCNV-2015-2763.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
07-13-2017audio_8DIR-2016-4160.txt,Supportive,8,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA07-03-13audio_04TT-72167.txt,Supportive,18,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-13-16audio_7CPC-2016-1083.txt,Supportive,114,8,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV020912audio_04APCSV11-1192.txt,Supportive,16,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-25-2017audio_7DIR-2016-3612.txt,Supportive,28,2,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA01-20-16audio_5AA-2014-2269-PMLA-CC-1A_ZA-2014-2373-CDP-MEL-1A.txt,Supportive,12,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_9CPC-2014-2590.txt,Supportive,30,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-16-11audio_04APCW09-3151.txt,Supportive,38,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
